"search_keyword","commerce_search_count","integrated_search_count","order_usage_rate","ad_intype_rate","organic_rate","c","uc","r","ctr","cvr","search_fail_20_rate","search_fail_100_rate","filter_usage_rate","related_search_rate","date"
"마스크보관함","11","10","84.61538461538461","0.0","100.0","147","37","2744","72.97297297297297","0.0","34.48275862068966","27.586206896551722","2.7027027027027026","0.0","2022-03-06"
"울리","1","0","73.33333333333333","0.0","100.0","11","5","26472","40.0","0.0","60.0","60.0","20.0","0.0","2022-03-06"
"조리도구통","25","4","100.0","0.0","100.0","161","49","2512","63.265306122448976","0.0","62.5","56.25","4.081632653061225","4.081632653061225","2022-03-06"
"등받이","51","16","90.9090909090909","0.0","100.0","400","124","1067","70.54263565891473","0.0","62.18487394957983","42.857142857142854","2.2900763358778624","5.343511450381679","2022-03-06"
"모던하우스냄비받침","6","0","100.0","0.0","100.0","18","2","16941","100.0","0.0","0.0","0.0","50.0","0.0","2022-03-06"
"유리협탁","15","5","100.0","0.0","100.0","138","24","2905","75.0","0.0","43.47826086956522","39.130434782608695","12.5","4.166666666666667","2022-03-06"
"원형테이블600","26","7","94.44444444444444","0.0","100.0","219","21","1895","75.0","0.0","52.38095238095238","42.857142857142854","8.333333333333334","8.333333333333334","2022-03-06"
"립스틱정리함","7","0","100.0","0.0","100.0","46","6","7460","85.71428571428571","0.0","28.571428571428573","28.571428571428573","28.571428571428573","0.0","2022-03-06"
"스타벅스텀블러","26","2","100.0","0.0","100.0","80","17","4686","72.22222222222223","0.0","38.888888888888886","33.333333333333336","5.555555555555555","5.555555555555555","2022-03-06"
"주방장갑","33","11","92.85714285714286","0.0","100.0","369","83","1167","80.23255813953489","0.0","46.15384615384615","33.333333333333336","4.597701149425287","0.0","2022-03-06"
"욕실청소기","21","5","100.0","0.0","100.0","90","17","4202","85.0","0.0","15.0","15.0","10.0","0.0","2022-03-06"
"무선충전","11","1","100.0","0.0","100.0","149","38","2706","79.48717948717949","0.0","68.42105263157895","44.73684210526316","2.5641025641025643","5.128205128205129","2022-03-06"
"김치냉장고","126","97","85.60606060606061","0.0","100.0","843","201","502","84.43396226415095","0.0","44.15584415584416","33.116883116883116","5.555555555555555","1.8518518518518519","2022-03-06"
"규조토","219","63","92.13483146067416","0.0","100.0","2605","554","147","84.56260720411663","0.0","37.78195488721804","26.8796992481203","4.060913705583756","7.4450084602368864","2022-03-06"
"소독","7","7","77.77777777777777","0.0","100.0","83","22","4535","78.26086956521739","0.0","26.31578947368421","15.789473684210526","4.3478260869565215","0.0","2022-03-06"
"메모리폼베개커버","8","3","100.0","0.0","100.0","43","7","7917","100.0","0.0","14.285714285714286","0.0","14.285714285714286","0.0","2022-03-06"
"시스템행거","129","115","72.26277372262774","0.0","100.0","1814","350","221","90.76923076923077","0.0","38.68613138686131","29.562043795620436","3.9119804400977993","2.444987775061125","2022-03-06"
"트라이앵글","30","8","72.88135593220339","0.0","100.0","218","62","1907","78.46153846153847","0.0","32.72727272727273","27.272727272727273","12.307692307692308","0.0","2022-03-06"
"전자레인지","412","253","80.68535825545172","0.0","100.0","4263","872","73","77.67393561786085","0.0","49.07161803713528","40.05305039787798","9.025641025641026","1.9648397104446742","2022-03-06"
"세라믹칼","19","1","93.75","0.0","100.0","111","25","3527","77.77777777777777","0.0","20.0","20.0","3.7037037037037037","0.0","2022-03-06"
