"search_keyword","qc","card_cc","avg_object_idx","click_ranking","object_idx_list","object_id_list"
"레터링","64.0","7.0","3.29","{1=2, 2=2, 3=1, 6=1, 8=1}","[3, 2, 2, 8, 1, 1, 6]","[12068657, 12068657, 12068657, 5935205, 14786754, 14430879, 10301470]"
"접시받침대","11.0","1.0","0.0","{0=1}","[0]","[9782113]"
"마스크줄","18.0","2.0","4.5","{2=1, 7=1}","[2, 7]","[6414641, 13558488]"
"신발장수납","20.0","2.0","8.0","{8=2}","[8, 8]","[12430397, 8564133]"
"브리타","542.0","15.0","3.47","{0=4, 1=1, 2=2, 4=3, 6=1, 7=3, 8=1}","[8, 0, 4, 0, 2, 0, 7, 1, 7, 4, 0, 2, 4, 7, 6]","[9672942, 14515156, 3032597, 14515156, 15401614, 14515156, 10956974, 13440713, 10956974, 3032597, 14515156, 9747420, 3032597, 10956974, 14877312]"
"바자르 커튼","41.0","2.0","6.0","{5=1, 7=1}","[7, 5]","[4157024, 11916129]"
"그네","35.0","6.0","2.5","{0=1, 1=1, 2=3, 8=1}","[1, 2, 0, 2, 8, 2]","[10373841, 10592233, 10389361, 1672920, 13686066, 1672920]"
"자전거거치대","31.0","13.0","3.15","{0=4, 1=2, 3=1, 5=3, 6=1, 7=1, 8=1}","[1, 3, 5, 1, 8, 0, 0, 6, 0, 0, 5, 7, 5]","[61620, 4411464, 4557742, 61620, 13691827, 13983386, 13464078, 9358282, 13464078, 13464078, 13464078, 13691827, 4557742]"
"열쇠","17.0","1.0","5.0","{5=1}","[5]","[9773017]"
"원룸옷장","33.0","9.0","2.44","{0=2, 1=1, 2=2, 3=1, 4=1, 5=2}","[0, 5, 2, 4, 5, 2, 3, 0, 1]","[7487846, 14969121, 607042, 14496374, 10956234, 607042, 9889915, 10956234, 11079565]"
"전기쿠커","13.0","8.0","2.5","{0=1, 1=2, 2=2, 3=1, 4=1, 7=1}","[3, 4, 1, 7, 2, 2, 1, 0]","[9904173, 10410886, 10603609, 1850528, 1850529, 1850529, 10603609, 8734646]"
"로헨","69.0","2.0","3.5","{2=1, 5=1}","[5, 2]","[11796064, 14929539]"
"씽크대수전","87.0","34.0","3.5","{0=10, 1=3, 2=1, 3=3, 4=2, 5=1, 6=9, 7=2, 8=3}","[6, 6, 6, 6, 2, 0, 6, 8, 6, 0, 0, 6, 4, 7, 4, 5, 3, 8, 7, 0, 6, 8, 3, 3, 0, 0, 1, 0, 1, 0, 0, 1, 6, 0]","[13759859, 13759859, 13759859, 13759859, 14040854, 9726882, 13759859, 10026903, 13759859, 9726882, 9726882, 13759859, 13648001, 10026903, 13648001, 14040848, 11622811, 13916362, 10026903, 11622811, 13759859, 10026903, 11622811, 14040854, 9726882, 9726882, 9726882, 9726882, 12853569, 11622811, 9726882, 9726882, 13759859, 9726882]"
"인테리어파티션","19.0","5.0","2.2","{0=2, 1=1, 2=1, 8=1}","[1, 8, 0, 0, 2]","[8609556, 5703497, 13351071, 13351071, 8609556]"
"마그넷","207.0","18.0","3.17","{0=2, 1=5, 2=3, 3=1, 5=2, 6=2, 7=3}","[3, 2, 2, 2, 1, 7, 1, 1, 1, 0, 5, 7, 6, 1, 7, 5, 0, 6]","[11770103, 8223212, 8223212, 11937217, 11814593, 14599660, 11814593, 11814593, 11814593, 11770103, 8223212, 14599660, 13902419, 11814593, 14599659, 14599659, 11770103, 13902419]"
"가습기","4143.0","163.0","2.77","{0=36, 1=36, 2=28, 3=9, 4=10, 5=7, 6=11, 7=17, 8=9}","[2, 2, 1, 0, 2, 1, 0, 1, 1, 2, 3, 0, 0, 2, 1, 1, 7, 0, 0, 3, 1, 0, 0, 4, 2, 1, 8, 1, 2, 7, 2, 2, 5, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 3, 1, 1, 6, 2, 5, 2, 2, 8, 0, 0, 0, 2, 6, 1, 7, 5, 8, 7, 2, 2, 7, 6, 0, 1, 1, 8, 1, 7, 2, 0, 3, 3, 3, 1, 4, 2, 1, 1, 1, 0, 1, 0, 2, 8, 1, 1, 2, 3, 4, 4, 1, 7, 2, 4, 4, 2, 0, 6, 1, 2, 4, 0, 1, 7, 3, 5, 2, 1, 3, 6, 5, 6, 7, 1, 1, 7, 4, 7, 7, 6, 6, 1, 0, 1, 0, 7, 0, 6, 0, 2, 2, 5, 0, 0, 7, 1, 2, 7, 1, 4, 6, 7, 0, 0, 4, 0, 8, 8, 5, 1, 8, 7, 8, 2, 0, 1, 6]","[11935109, 11935109, 11935109, 14167208, 13009121, 13009121, 13450813, 11935109, 11935109, 11922471, 9998486, 14987883, 14167208, 11922471, 11935109, 11935109, 14366739, 13471038, 14167208, 12563000, 11935109, 14167208, 13471038, 12563000, 11780447, 13450813, 14366739, 13009121, 11935109, 12227480, 11780447, 13980803, 12563000, 13009121, 14167208, 13450813, 11922471, 14167208, 14167208, 14167208, 11935109, 14167208, 13471038, 14987883, 14167208, 11922471, 13009121, 11935109, 12245743, 9998486, 14668097, 11935109, 11935109, 14366739, 13450813, 13450813, 14167208, 11935109, 14366739, 13009121, 12245743, 13009121, 12245743, 14366739, 11935109, 9998486, 12245743, 14366739, 14167208, 11935109, 13009121, 14366739, 11935109, 12227480, 11935109, 13471038, 11780447, 9998486, 12563000, 13009121, 14317852, 11935109, 11935109, 11935109, 13450813, 14167208, 13009121, 14167208, 13980803, 14317852, 13450813, 13009121, 11922471, 12292471, 12563000, 14317852, 13450813, 14366739, 11935109, 9998486, 14317852, 13009121, 14167208, 14366739, 11935109, 9998486, 12563000, 14167208, 11935109, 14366739, 13009121, 14668097, 11935109, 14987883, 11922471, 14317852, 14317852, 14366739, 14366739, 11935109, 11935109, 14366739, 14317852, 14366739, 12245743, 14366739, 14366739, 13009121, 14167208, 13009121, 14167208, 14366739, 13471038, 14366739, 13471038, 11935109, 11935109, 13009121, 14167208, 13471038, 12563000, 13009121, 11935109, 12227480, 11935109, 12266682, 14366739, 14366739, 14167208, 13471038, 14317852, 13450813, 12227480, 12227480, 12563000, 11935109, 12227480, 12563000, 13584851, 9998486, 14167208, 13009121, 14317852]"
"자갈","98.0","5.0","3.0","{0=1, 1=2, 5=1, 8=1}","[5, 1, 1, 8, 0]","[13064921, 6820636, 6820636, 12044868, 13064918]"
"이케아테이블","55.0","6.0","2.0","{0=2, 2=2, 4=2}","[2, 4, 0, 0, 2, 4]","[12539851, 10539758, 11029646, 11029646, 12539851, 10539758]"
"자석창문닦이","10.0","1.0","0.0","{0=1}","[0]","[12364630]"
"버섯조명","160.0","18.0","3.83","{0=1, 2=3, 3=3, 4=6, 5=2, 6=2, 8=1}","[2, 5, 4, 6, 3, 2, 4, 6, 3, 2, 8, 4, 3, 4, 4, 0, 5, 4]","[15105815, 15286035, 15154058, 15286035, 14983179, 15105815, 15154058, 11212997, 14983179, 15105815, 12576486, 15154058, 14983179, 15154058, 15385021, 13806840, 15154058, 15154058]"
"원룸부엌","13.0","2.0","0.5","{0=1, 1=1}","[0, 1]","[11062777, 11062692]"
"포레나","12.0","1.0","0.0","{0=1}","[0]","[13437549]"
"욕실세면대","12.0","3.0","1.0","{0=2, 3=1}","[0, 0, 3]","[10872455, 10872455, 14746063]"
"리모컨정리","129.0","40.0","2.25","{0=16, 1=3, 2=4, 3=4, 4=2, 5=9, 6=1, 8=1}","[3, 2, 0, 0, 3, 5, 0, 5, 2, 5, 0, 0, 0, 0, 5, 5, 0, 4, 5, 0, 4, 6, 5, 0, 3, 0, 2, 3, 2, 0, 8, 1, 0, 0, 1, 0, 5, 5, 0, 1]","[6973553, 6973553, 4509378, 4509378, 6973553, 4509378, 14532651, 4509378, 15002594, 4509378, 4509378, 4509378, 4509378, 4509378, 3364606, 3364606, 4509378, 9573728, 3364606, 4509378, 3364606, 15231408, 4509378, 4509378, 6973553, 14532651, 3364606, 6973553, 15002594, 4509378, 9349936, 14532651, 4509378, 14532651, 14532651, 4509378, 4509378, 3364606, 4509378, 14532651]"
"향수보관함","16.0","7.0","4.14","{0=1, 4=4, 5=1, 8=1}","[4, 5, 4, 0, 4, 4, 8]","[866072, 11290494, 866072, 14172729, 866072, 866072, 12802063]"
"바식탁","15.0","5.0","2.6","{0=1, 2=2, 4=1, 5=1}","[4, 5, 0, 2, 2]","[13765864, 13765864, 10711495, 11824132, 11824132]"
"씽크대매트","55.0","7.0","3.14","{0=3, 4=1, 5=2, 8=1}","[0, 5, 4, 5, 8, 0, 0]","[4353891, 12143143, 7803036, 12143143, 12941779, 4353891, 4353891]"
"서랍장1000","103.0","15.0","2.4","{0=4, 1=6, 4=1, 6=2, 7=2}","[1, 7, 6, 0, 0, 7, 1, 1, 1, 4, 1, 1, 0, 6, 0]","[15090608, 12956347, 10435804, 13396181, 13396181, 12956347, 15090608, 15090608, 13396181, 9439206, 13396181, 13396181, 13396181, 12956347, 13396181]"
"마켓비 단스탠드","41.0","1.0","7.0","{7=1}","[7]","[12324538]"
"일룸키즈","15.0","1.0","0.0","{0=1}","[0]","[14404760]"
"장난감방","32.0","5.0","5.8","{4=2, 6=1, 7=1, 8=1}","[7, 4, 4, 6, 8]","[3589351, 9511255, 9511255, 3589351, 12044319]"
"메이크가구","85.0","12.0","1.67","{0=7, 2=1, 4=2, 5=2}","[5, 5, 0, 0, 2, 0, 0, 4, 0, 0, 0, 4]","[13229802, 13229802, 12724905, 12724905, 536043, 12724905, 12724905, 12667300, 12724905, 12724905, 12724905, 12667300]"
"온열매트","47.0","2.0","6.0","{5=1, 7=1}","[5, 7]","[13800737, 13408440]"
"강아지 식기","25.0","8.0","2.38","{0=1, 1=1, 2=1, 3=4, 4=1}","[3, 1, 3, 4, 3, 2, 0, 3]","[13438327, 12793951, 13438327, 11261315, 13438327, 6035214, 10888734, 13438327]"
"실내분수","10.0","5.0","1.8","{0=1, 1=2, 3=1, 4=1}","[1, 1, 0, 4, 3]","[2993664, 2993664, 7767957, 3894889, 11056108]"
