"search_keyword","qc","cc","ctr"
"인덕션냄비세트","16","2","12.5"
"아이스커피잔","20","9","45.0"
"호텔식침구","12","6","50.0"
"원목 책장","12","8","66.66666666666667"
"캣폴","38","24","63.1578947368421"
"화장솜케이스","14","4","28.571428571428573"
"가리개 커튼","33","11","33.333333333333336"
"마이너스옵션","10","5","50.0"
"플레이모빌","32","19","59.375"
"오브제냉장고","68","50","73.52941176470588"
"광목커튼","45","18","40.0"
"마틸다","21","4","19.047619047619047"
"체리색몰딩","16","12","75.0"
"건조기선반","39","29","74.35897435897436"
"붇박이장","12","10","83.33333333333333"
"루프탑","28","19","67.85714285714286"
"캄포슬림","23","21","91.30434782608695"
"트램폴린","14","9","64.28571428571429"
"누하스","13","7","53.84615384615385"
"조경","16","6","37.5"
"led시계","64","31","48.4375"
"이케아 협탁","10","2","20.0"
"cd","23","10","43.47826086956522"
"바지","12","6","50.0"
"투룸","139","96","69.06474820143885"
"진공쌀통","14","6","42.857142857142854"
"2u_ukk","10","9","90.0"
"욕실리모델링","41","33","80.48780487804878"
"화장대 책상","12","8","66.66666666666667"
"led등","17","9","52.94117647058823"
"룸투어","2361","1484","62.854722575180006"
"캠핑식기","10","3","30.0"
"블랭킷","129","60","46.51162790697674"
"바닥타일","44","12","27.272727272727273"
"포더홈","20","7","35.0"
"냄비세트","118","38","32.20338983050848"
"전세","36","25","69.44444444444444"
"아기매트","27","18","66.66666666666667"
"한스웨그너","15","11","73.33333333333333"
"쟁반트레이","19","9","47.36842105263158"
"식탁러너","10","4","40.0"
"벽조명","112","61","54.464285714285715"
"라탄조명","33","18","54.54545454545455"
"주방꾸미기","20","13","65.0"
"양념병","20","11","55.0"
"청소기수납","11","4","36.36363636363637"
"현관신발장","26","18","69.23076923076923"
"냄비","187","58","31.016042780748663"
"세리프티비","17","12","70.58823529411765"
"보닥타일","15","10","66.66666666666667"
"봄소와","21","15","71.42857142857143"
"스마트전구","24","6","25.0"
"투명 테이블","10","7","70.0"
"시몬스 프레임","11","8","72.72727272727273"
"헤어드라이기","19","5","26.31578947368421"
"싱크대시트지","42","32","76.19047619047619"
"중문없는현관","110","66","60.0"
"키친타올 걸이","10","5","50.0"
"버터나이프","14","7","50.0"
"욕실화","210","95","45.23809523809524"
"usm haller","11","8","72.72727272727273"
"안막커텐","21","9","42.857142857142854"
"여름 러그","21","11","52.38095238095238"
"원목의자","135","50","37.03703703703704"
"시리얼디스펜서","29","16","55.172413793103445"
"다락방","103","70","67.96116504854369"
"책상 서랍장","15","9","60.0"
"쟁반","119","37","31.092436974789916"
"빔","85","30","35.294117647058826"
"다리미판","67","23","34.32835820895522"
"책상 서랍","15","5","33.333333333333336"
"현관코일매트","17","13","76.47058823529412"
"거실화초","24","4","16.666666666666668"
"저당밥솥","10","4","40.0"
"램프","30","11","36.666666666666664"
"대학생방","52","37","71.15384615384616"
"베란다가림막","18","15","83.33333333333333"
"티비다리","13","10","76.92307692307692"
"이케아트롤리","22","12","54.54545454545455"
"치약짜개","25","16","64.0"
"레몬착즙기","12","4","33.333333333333336"
"5평원룸","70","61","87.14285714285714"
"비스포크식기세척기","17","10","58.8235294117647"
"벽 거울","11","5","45.45454545454545"
"일룸책상","46","27","58.69565217391305"
"삼성냉장고","32","12","37.5"
"수입벽지","10","5","50.0"
"아르텍","20","13","65.0"
"스트링시스템","10","8","80.0"
"포스터샵","23","10","43.47826086956522"
"조화화병","11","8","72.72727272727273"
"매직파티션","12","8","66.66666666666667"
"플로라침구","21","1","4.761904761904762"
"위스키장","12","10","83.33333333333333"
"라꾸라꾸","22","6","27.272727272727273"
"ㄱ책상","15","15","100.0"
"비정형거울","70","35","50.0"
"재택근무","52","39","75.0"
"테라조타일","44","36","81.81818181818181"
"자코모","64","35","54.6875"
"탁상달력","13","3","23.076923076923077"
"침대테이블","108","36","33.333333333333336"
"식세기","12","7","58.333333333333336"
"베란다 의자","12","7","58.333333333333336"
"테이블 ","10","1","10.0"
"레트로","112","60","53.57142857142857"
"미드센츄리","282","201","71.27659574468085"
"주방의자","10","7","70.0"
"티테이블","194","108","55.670103092783506"
"규조토","97","24","24.742268041237114"
"7평 원룸 인테리어 ","12","9","75.0"
"마리엔젤","10","5","50.0"
"2인용식탁세트","16","7","43.75"
"주방수납장800","14","7","50.0"
"아레카야자","37","18","48.648648648648646"
"귀걸이","13","5","38.46153846153846"
"듀라렉스","21","9","42.857142857142854"
"쿠시노","27","24","88.88888888888889"
"옷","35","12","34.285714285714285"
"안방 조명","11","7","63.63636363636363"
"치약","35","13","37.142857142857146"
"알루미늄 블라인드","38","24","63.1578947368421"
"피아바","20","15","75.0"
"미용실인테리어","13","9","69.23076923076923"
"덕질존","99","66","66.66666666666667"
"작은창 커튼","26","12","46.15384615384615"
"가죽소파","96","55","57.291666666666664"
"정수기다이","16","5","31.25"
"미닉스","13","4","30.76923076923077"
"4인식탁세트","93","45","48.38709677419355"
"아일랜드식탁의자","141","81","57.4468085106383"
"초록이불","11","9","81.81818181818181"
"한혜진프레임","18","14","77.77777777777777"
"북트롤리","16","11","68.75"
"리클라이너쇼파","12","8","66.66666666666667"
"도어후크","14","8","57.142857142857146"
"자석후크","21","11","52.38095238095238"
"5단 서랍장","13","7","53.84615384615385"
"디지털피아노","16","9","56.25"
"번드","15","5","33.333333333333336"
"다육이","58","35","60.3448275862069"
"37형","27","17","62.96296296296296"
"데이드리머","14","8","57.142857142857146"
"침대배치","14","9","64.28571428571429"
"주방시계","17","12","70.58823529411765"
"사무실의자","15","9","60.0"
