search_keyword,qc,cc,ctr
오브제컬렉션,15,10,66.66666666666670
주방리모델링,27,20,74.07407407407410
책상 시트지,11,6,54.54545454545460
복층 커튼,17,15,88.23529411764710
인조식물,13,8,61.53846153846150
라탄침대,13,9,69.23076923076920
매트리스 프레임,11,2,18.181818181818200
14평,13,7,53.84615384615390
현관콘솔,17,14,82.3529411764706
삼성에어컨,17,8,47.05882352941180
청소솔,18,9,50.0
홈술,51,20,39.21568627450980
악세사리 보관함,42,24,57.142857142857100
한샘샘키즈,23,16,69.56521739130430
작은방붙박이장,17,11,64.70588235294120
쉬폰포스터,23,11,47.82608695652170
집들이선물,98,33,33.673469387755100
레이스천,27,16,59.25925925925930
다도세트,14,9,64.28571428571430
멀티쿠커,20,3,15.0
흰색침구,12,2,16.666666666666700
수저트레이,11,7,63.63636363636360
더치커피,10,1,10.0
티슈 케이스,12,7,58.333333333333300
미니수납장,60,34,56.66666666666670
샌드그레이,14,9,64.28571428571430
5단선반,15,8,53.333333333333300
작은방옷장,30,19,63.333333333333300
그라탕기,11,4,36.36363636363640
베란다잔디,14,11,78.57142857142860
전기밥솥,33,10,30.303030303030300
룸스프레이,16,4,25.0
앵두전구,23,11,47.82608695652170
파스타볼,46,12,26.08695652173910
시디즈 t50,11,6,54.54545454545460
거실테이블1600,14,5,35.714285714285700
마그넷보드,10,8,80.0
옷걸이헹거,10,6,60.0
이동식 행거,13,3,23.07692307692310
무선충전기,28,10,35.714285714285700
디저트접시,29,19,65.51724137931040
코너선반,84,34,40.47619047619050
공방인테리어,23,17,73.91304347826090
책정리,40,20,50.0
슬림신발장,10,6,60.0
화장대조명,42,24,57.142857142857100
욕실 거울,14,12,85.71428571428570
콘센트 가리개,32,18,56.25
무선선풍기,10,2,20.0
브레드박스,52,34,65.38461538461540
거실수납,24,9,37.5
냉장고자리,19,13,68.42105263157900
서랍행거,13,6,46.15384615384620
스위치커버,30,12,40.0
드라이기 거치대,58,21,36.206896551724100
티슈커버,20,9,45.0
조립마루,16,13,81.25
화장품 정리함,12,6,50.0
인테리어쇼,40,15,37.5
좁은주방,120,93,77.5
배전함가리개,16,14,87.5
소파 테이블,52,30,57.69230769230770
윈도우시트,88,71,80.68181818181820
나무테이블,12,6,50.0
패브릭포스터,674,272,40.35608308605340
데스크셋업,63,50,79.36507936507940
주방도구걸이,15,12,80.0
페브릭커튼,11,6,54.54545454545460
일인용쇼파,22,5,22.727272727272700
8평원룸,24,20,83.33333333333330
탄성코트,10,9,90.0
중학생방,179,140,78.2122905027933
화장대정리,130,87,66.92307692307690
우드블라인드,114,81,71.05263157894740
포인트 러그,11,7,63.63636363636360
포스터커튼,10,6,60.0
커피컵,11,1,9.090909090909090
코지테이블,11,2,18.181818181818200
인센스홀더,113,52,46.017699115044200
화장대트레이,10,6,60.0
피팅룸,14,8,57.142857142857100
수성바스,24,15,62.5
유리블럭,38,26,68.42105263157900
접시꽂이,42,18,42.85714285714290
렉슨미나,12,7,58.333333333333300
 ,19,6,31.57894736842110
선반가리개,26,16,61.53846153846150
보조주방,55,42,76.36363636363640
행주건조대,19,15,78.94736842105260
지누스 프레임,12,4,33.333333333333300
웰퍼니쳐,10,4,40.0
르크루제,26,5,19.23076923076920
독서의자,19,15,78.94736842105260
도마걸이,17,6,35.294117647058800
식기건조대,512,273,53.3203125
냉장고자석,24,10,41.66666666666670
덴비머그컵,10,0,0.0
킹사이즈침대,24,12,50.0
차르르커튼,34,20,58.8235294117647
고양이화장실,50,34,68.0
문걸이 거울,11,5,45.45454545454550
광파오븐수납장,13,9,69.23076923076920
알루미늄블라인드,22,18,81.81818181818180
카페소파,10,6,60.0
수납거울,16,4,25.0
미니행거,47,22,46.80851063829790
디자인벤처스,13,9,69.23076923076920
북카페거실,17,15,88.23529411764710
레이스매트,10,6,60.0
보조배터리,15,6,40.0
베란다방,11,7,63.63636363636360
주방 시트지,14,11,78.57142857142860
주방겸거실,16,14,87.5
커플pc,14,14,100.0
나투스진그란데,12,12,100.0
변기솔,39,18,46.15384615384620
랙선반,10,3,30.0
빌보,12,9,75.0
마켓비수납장,23,9,39.130434782608700
꽃액자,10,4,40.0
회전트레이,22,7,31.818181818181800
야외의자,18,9,50.0
피부관리실,11,8,72.72727272727270
월넛 협탁,10,8,80.0
방묘문,23,7,30.43478260869570
인덕션냄비세트,16,2,12.5
아이스커피잔,20,9,45.0
호텔식침구,12,6,50.0
원목 책장,12,8,66.66666666666670
캣폴,38,24,63.1578947368421
화장솜케이스,14,4,28.571428571428600
가리개 커튼,33,11,33.333333333333300
마이너스옵션,10,5,50.0
플레이모빌,32,19,59.375
오브제냉장고,68,50,73.52941176470590
광목커튼,45,18,40.0
체리색몰딩,16,12,75.0
건조기선반,39,29,74.35897435897440
붇박이장,12,10,83.33333333333330
캄포슬림,23,21,91.30434782608700
led시계,64,31,48.4375
이케아 협탁,10,2,20.0
진공쌀통,14,6,42.85714285714290
2u_ukk,10,9,90.0
욕실리모델링,41,33,80.48780487804880
화장대 책상,12,8,66.66666666666670
led등,17,9,52.94117647058820
룸투어,2361,1484,62.854722575180000
캠핑식기,10,3,30.0
블랭킷,129,60,46.51162790697670
바닥타일,44,12,27.272727272727300
냄비세트,118,38,32.20338983050850
아기매트,27,18,66.66666666666670
한스웨그너,15,11,73.33333333333330
쟁반트레이,19,9,47.36842105263160
식탁러너,10,4,40.0
벽조명,112,61,54.46428571428570
라탄조명,33,18,54.54545454545460
주방꾸미기,20,13,65.0
청소기수납,11,4,36.36363636363640
현관신발장,26,18,69.23076923076920
세리프티비,17,12,70.58823529411770
보닥타일,15,10,66.66666666666670
스마트전구,24,6,25.0
투명 테이블,10,7,70.0
시몬스 프레임,11,8,72.72727272727270
헤어드라이기,19,5,26.31578947368420
싱크대시트지,42,32,76.19047619047620
중문없는현관,110,66,60.0
키친타올 걸이,10,5,50.0
버터나이프,14,7,50.0
욕실화,210,95,45.23809523809520
usm haller,11,8,72.72727272727270
안막커텐,21,9,42.85714285714290
여름 러그,21,11,52.38095238095240
원목의자,135,50,37.03703703703700
시리얼디스펜서,29,16,55.172413793103400
책상 서랍장,15,9,60.0
다리미판,67,23,34.32835820895520
책상 서랍,15,5,33.333333333333300
현관코일매트,17,13,76.47058823529410
거실화초,24,4,16.666666666666700
저당밥솥,10,4,40.0
대학생방,52,37,71.15384615384620
베란다가림막,18,15,83.33333333333330
티비다리,13,10,76.92307692307690
이케아트롤리,22,12,54.54545454545460
레몬착즙기,12,4,33.333333333333300
5평원룸,70,61,87.14285714285710
비스포크식기세척기,17,10,58.8235294117647
벽 거울,11,5,45.45454545454550
일룸책상,46,27,58.69565217391310
삼성냉장고,32,12,37.5
수입벽지,10,5,50.0
스트링시스템,10,8,80.0
포스터샵,23,10,43.47826086956520
조화화병,11,8,72.72727272727270
매직파티션,12,8,66.66666666666670
플로라침구,21,1,4.761904761904760
위스키장,12,10,83.33333333333330
ㄱ책상,15,15,100.0
비정형거울,70,35,50.0
재택근무,52,39,75.0
테라조타일,44,36,81.81818181818180
탁상달력,13,3,23.07692307692310
침대테이블,108,36,33.333333333333300
식세기,12,7,58.333333333333300
베란다 의자,12,7,58.333333333333300
레트로,112,60,53.57142857142860
미드센츄리,282,201,71.27659574468090
주방의자,10,7,70.0
티테이블,194,108,55.67010309278350
7평 원룸 인테리어,12,9,75.0
2인용식탁세트,16,7,43.75
주방수납장800,14,7,50.0
아레카야자,37,18,48.648648648648600
안방 조명,11,7,63.63636363636360
알루미늄 블라인드,38,24,63.1578947368421
미용실인테리어,13,9,69.23076923076920
덕질존,99,66,66.66666666666670
작은창 커튼,26,12,46.15384615384620
가죽소파,96,55,57.29166666666670
정수기다이,16,5,31.25
4인식탁세트,93,45,48.38709677419360
아일랜드식탁의자,141,81,57.4468085106383
초록이불,11,9,81.81818181818180
한혜진프레임,18,14,77.77777777777780
북트롤리,16,11,68.75
리클라이너쇼파,12,8,66.66666666666670
도어후크,14,8,57.142857142857100
자석후크,21,11,52.38095238095240
5단 서랍장,13,7,53.84615384615390
디지털피아노,16,9,56.25
다육이,58,35,60.3448275862069
침대배치,14,9,64.28571428571430
주방시계,17,12,70.58823529411770
사무실의자,15,9,60.0
틈새 수납,11,2,18.181818181818200
사각테이블,18,8,44.44444444444440
퓨리케어공기청정기,17,9,52.94117647058820
핑크의자,11,7,63.63636363636360
작은 책상,12,5,41.66666666666670
벽걸이 행거,10,3,30.0
소파테이블,317,185,58.3596214511041
무선무드등,12,3,25.0
5단서랍장,147,62,42.17687074829930
라탄의자,165,82,49.696969696969700
