"search_keyword","cqc","iqc","avg_object_idx","rank_to_clickcnt","object_idx_list","object_id_list"
"테이블보","1999.0","827.0","3.0080645161290325","{0=36, 1=12, 2=12, 3=13, 4=12, 5=6, 6=16, 7=12, 8=5}","[0, 5, 6, 2, 0, 1, 3, 0, 7, 0, 4, 1, 0, 4, 1, 5, 7, 2, 5, 2, 8, 4, 0, 7, 1, 1, 0, 6, 3, 6, 3, 2, 8, 0, 3, 7, 6, 0, 5, 2, 6, 0, 4, 0, 1, 2, 5, 0, 3, 0, 4, 3, 4, 0, 6, 1, 4, 0, 3, 6, 0, 4, 6, 0, 0, 3, 0, 7, 7, 0, 0, 1, 6, 4, 7, 0, 3, 0, 4, 0, 2, 8, 4, 0, 6, 0, 2, 0, 2, 6, 0, 4, 0, 1, 7, 0, 7, 0, 2, 5, 6, 0, 0, 7, 2, 6, 0, 6, 3, 3, 7, 6, 2, 0, 3, 6, 8, 1, 0, 3, 1, 7, 1, 8]","[13845541, 9894475, 8669766, 12040216, 13845541, 12040216, 6108096, 13845541, 8669766, 13845541, 9821413, 10891656, 13845541, 9821413, 10891656, 9821413, 6890360, 6108096, 9821413, 12040216, 8669766, 9821413, 12040216, 8669766, 6108096, 6108096, 7842031, 8669766, 7749738, 8669766, 6108096, 6108096, 8189511, 13845541, 6108096, 6890360, 9894475, 13845541, 6890360, 6108096, 9894475, 13845541, 9821413, 13845541, 10891656, 12040216, 9821413, 13845541, 7749738, 13845541, 9821413, 10949030, 9821413, 13845541, 6890360, 10891656, 9821413, 13845541, 6108096, 8669766, 13845541, 9894475, 8669766, 13845541, 13845541, 10949030, 13845541, 8669766, 8669766, 12040216, 13845541, 10891656, 8669766, 10949030, 6890360, 13845541, 13845541, 13845541, 10949030, 10891656, 6108096, 8669766, 9894475, 13845541, 9894475, 13845541, 9821413, 13845541, 6108096, 8669766, 13845541, 9821413, 10891656, 10891656, 8189511, 13845541, 8189511, 13845541, 6108096, 9894475, 8669766, 13845541, 13845541, 8669766, 9821413, 6890360, 13845541, 8669766, 6108096, 6108096, 8669766, 6890360, 12040216, 13845541, 13845541, 8669766, 8669766, 10891656, 12040216, 9821413, 10891656, 8669766, 12040216, 8669766]"
"대야","60.0","18.0","1.6","{0=2, 2=1, 3=2}","[0, 3, 3, 0, 2]","[10250169, 519731, 519731, 10250169, 6924983]"
"메모보드","36.0","17.0","2.6","{0=2, 1=3, 2=1, 3=2, 7=1, 8=1}","[3, 1, 1, 3, 0, 7, 1, 2, 8, 0]","[10527697, 8668594, 8668594, 10527697, 14689688, 8695925, 8668594, 12165979, 8695925, 14689688]"
"다이슨에어랩","153.0","44.0","3.161290322580645","{0=4, 1=2, 2=3, 3=9, 4=7, 5=2, 6=3, 7=1}","[4, 2, 0, 3, 6, 6, 0, 2, 3, 0, 3, 3, 4, 3, 3, 0, 6, 3, 3, 4, 4, 4, 4, 5, 4, 1, 1, 5, 7, 3, 2]","[12946403, 4031181, 7164256, 14359349, 14278166, 15264835, 7164256, 4031181, 14359349, 7164256, 14359349, 14359349, 12946403, 14359349, 14359349, 7164256, 15264835, 14359349, 14359349, 12946403, 12946403, 12946403, 12946403, 14740617, 12946403, 10375634, 10375634, 14278166, 12215497, 14359349, 4031181]"
"옷걸이행거","788.0","933.0","2.603550295857988","{0=35, 1=21, 2=47, 3=12, 4=21, 5=11, 6=10, 7=6, 8=6}","[0, 2, 4, 2, 2, 2, 3, 3, 4, 8, 2, 2, 6, 4, 2, 4, 2, 1, 6, 2, 4, 5, 2, 0, 1, 0, 4, 3, 2, 1, 6, 0, 0, 0, 5, 4, 4, 3, 5, 0, 6, 2, 7, 5, 1, 0, 1, 1, 4, 0, 3, 7, 4, 7, 1, 4, 6, 5, 1, 3, 0, 8, 5, 0, 6, 0, 0, 2, 2, 2, 0, 2, 4, 1, 0, 3, 2, 0, 2, 2, 5, 2, 1, 0, 0, 3, 1, 0, 4, 4, 8, 4, 2, 2, 5, 6, 0, 1, 4, 0, 2, 0, 0, 2, 2, 3, 3, 2, 2, 4, 1, 6, 2, 1, 0, 3, 5, 0, 0, 0, 2, 0, 2, 4, 1, 7, 2, 0, 0, 7, 2, 2, 1, 2, 1, 7, 2, 2, 5, 6, 1, 2, 2, 0, 8, 2, 1, 2, 8, 2, 2, 1, 3, 2, 2, 4, 0, 4, 2, 5, 2, 0, 8, 1, 6, 0, 2, 4, 0]","[13647687, 13681422, 5600424, 9723081, 9723081, 9723081, 11224014, 5600424, 11224014, 563839, 9723081, 9723081, 5600424, 5600424, 9723081, 11224014, 9723081, 9723080, 5600424, 9723081, 563839, 8520120, 9744276, 11952640, 11952640, 11952640, 11224014, 13681422, 13681422, 11952640, 5600424, 13647687, 11952640, 11952640, 5600424, 11224014, 11224014, 11224014, 56918, 13647687, 5600424, 9723081, 563839, 56918, 11952640, 13647687, 11952640, 11952640, 11224014, 11952640, 11224014, 5600424, 563839, 11915510, 11952640, 11224014, 5600424, 56918, 9723080, 13681422, 11952640, 563839, 56918, 11952640, 14615178, 11952640, 11952640, 9744276, 9723081, 9723081, 11952640, 9744276, 5600424, 11952640, 11952640, 13681422, 13681422, 11952640, 9723081, 9723081, 5600424, 9723081, 9723080, 11952640, 11952640, 5600424, 9723080, 13647687, 5600424, 11224014, 8520120, 5600424, 9744276, 9723081, 56918, 5600424, 11952640, 11952640, 5600424, 13647687, 9723081, 11952640, 13647687, 9723081, 13681422, 13681422, 13681422, 9744276, 9744276, 5600424, 11952640, 5600424, 9723081, 9723080, 11952640, 13681422, 8520120, 11952640, 11952640, 11952640, 13681422, 11952640, 13681422, 11224014, 9723080, 14615178, 9723081, 11952640, 11952640, 563839, 13681422, 9723081, 11952640, 9723081, 11952640, 11915510, 9723081, 13681422, 5600424, 5600424, 11952640, 9723081, 8955903, 11952640, 8520120, 9723081, 11952640, 9723081, 11915510, 13681422, 9744276, 9723080, 5600424, 13681422, 9723081, 5600424, 11952640, 5600424, 9723081, 563839, 13681422, 11952640, 11915510, 11952640, 5600424, 11952640, 9723081, 11224014, 11952640]"
"페브릭쇼파","12.0","9.0","4.5","{0=1, 1=1, 2=1, 5=1, 6=2, 8=2}","[2, 8, 6, 1, 0, 6, 8, 5]","[9557990, 13898240, 13981621, 13045689, 11566951, 10577468, 13898239, 10577468]"
"리바트하움","41.0","3.0","3.0","{3=1}","[3]","[12480901]"
"사각팬","22.0","13.0","2.857142857142857","{1=3, 2=2, 5=1, 8=1}","[2, 1, 8, 2, 1, 1, 5]","[11378997, 14292389, 11372998, 11378997, 14292389, 14292389, 10994656]"
"리우리빙","11.0","2.0","4.5","{3=1, 6=1}","[3, 6]","[14801179, 14896765]"
"자바라거치대","10.0","4.0","3.75","{0=1, 1=1, 6=1, 8=1}","[6, 8, 0, 1]","[11864664, 13476140, 14552809, 14808733]"
"치마걸이","79.0","26.0","2.857142857142857","{0=3, 1=1, 6=2, 7=1}","[1, 0, 0, 7, 6, 0, 6]","[12602970, 10599861, 10599861, 6060024, 6060024, 10599861, 11952640]"
