"id","production_id","user_id","star_durability","star_design","star_cost","star_delivery","comment","created_at","updated_at","option","on_hide","order_option_id","card_id","avg_star","memo","admin_check","praise_count","is_photo_hidden","has_reply","reply_writer","reply_content","reply_at"
"17846197","1038914","7293409","3","4","4","4","상품은 너무 예쁜데 생각보다 불이 안밝아요 그리고 빛 나오는 판? 부분이 수평으로 안맞춰져와서 그건 좀 아쉬워요","2022-05-07 10:20:39.000","2022-05-07 10:20:39.000","흰색","false","217947687","17114957","3.75",,"true","0","false","false","오늘의집 집돌이",,
"17840500","1038914","10673142","4","4","4","4","생각보다 작습니다!
색상과 밝기도 조절되지만 젤 밝게해도 어두운 편이에요;; 충전식인게 맘에 들어요. 창가에 두었습니다.","2022-05-06 20:17:37.000","2022-05-07 07:40:36.000","노랑","false","221472958","17106418","4.0",,"true","0","false","false","오늘의집 집돌이",,
"17843007","1038914","1137984","3","5","5","5","배터리가 오래가지는 않지만 
너무너무 귀엽고 포인트 되는 조명이에요
그리고 가격이 넘 착해요","2022-05-06 23:25:00.000","2022-05-06 23:25:00.000","노랑","false","216162262","17110392","4.5",,"true","0","false","false","오늘의집 집돌이",,
"17832435","1038914","10301112","5","5","5","5","너무 큰건 싫고 작은건 빛이 약할거같아서 적당한 크기로 찾아보다가 발견했네용, 디자인도 심플하고 조명빛 종류도 3가지, 그리고 무선으로 사용할수 있는게 너무 편해요~충전기도 집에 있는거 선만 바꿔서 쓸수있어서 최고입니당ㅋㅋ","2022-05-06 11:27:13.000","2022-05-06 11:27:13.000","흰색","false","221842153",,"5.0",,"true","0","false","false","오늘의집 집돌이",,
"17829156","1038914","2445239","5","5","5","5","LED 컬러가 세가지여서 기분따라서 바꿀수있고 너무 밝지않아서 수유등으로 쓰기 좋은거같아용","2022-05-06 03:17:04.000","2022-05-06 03:17:04.000","흰색","false","218550817","17090185","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17828308","1038914","10923712","5","5","5","5","이 가격에 이 퀄리티 미친 거 아닌가요,, 진짜 넘 이쁘고,,,, 도랐어요","2022-05-06 00:25:17.000","2022-05-06 00:25:17.000","소라","false","220436925","17088494","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17789674","1038914","656772","5","5","5","5","쨍한 노랑이에요. 포인트 되고 귀여워요. 버튼 하나로 쉽게 밝기 조절도 되고, 조명색 조절도 되고 마음에 들어요.","2022-05-03 21:25:08.000","2022-05-06 00:11:18.000","노랑","false","221399996","17036332","5.0",,"true","1","false","false","오늘의집 집돌이",,
"17821964","1038914","821618","5","5","5","5","무선도 되고 조명 색, 밝기 조절까지 맘에들어요","2022-05-05 17:25:05.000","2022-05-05 17:25:05.000","노랑","false","215579968","17079071","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17808841","1038914","11105849","5","5","5","5","가성비 좋구 편리하고 무선이라 너무 좋아요","2022-05-04 23:16:45.000","2022-05-04 23:16:45.000","흰색","false","221926437","17062738","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17806981","1038914","10539864","5","5","5","5","가벼운 재질의 무드등이에요 귀여워요
충전해서 무선으로 쓰는게 더편해요","2022-05-04 21:18:39.000","2022-05-04 21:18:40.000","노랑","false","221323831","17060173","5.0",,"true","0","false","false","오늘의집 집돌이",,
