search_keyword,grade,mctr,docid,avgRank,stdevRank,impressions,clicks,uimpressions,uclicks,scrapCnt,qc,cc,uqc,ucc,f__description.bm25,f__keyword_list.korean.bm25,f__nickname.bm25,f__company.bm25,f__prod_name.bm25,f__prod_brand_name.bm25,f__prod_categories.bm25,f__decode_style.bm25,f__decode_area.bm25,f__decode_residence.bm25,f__reinforcement.bm25,f__click_keywords.bm25,f__desc.prod.keyword.bm25,f__desc.prod.bm25,f__desc.keyword.bm25,f__description.proximity,f__keyword_list.korean.proximity,f__nickname.proximity,f__company.proximity,f__prod_name.proximity,f__prod_brand_name.proximity,f__prod_categories.proximity,f__decode_style.proximity,f__decode_area.proximity,f__decode_residence.proximity,f__reinforcement.proximity,f__click_keywords.proximity,f__reply_count,f__follower_count,f__praise_count,f__scrap_count,f__view_count,f__user_card_count,f__created_at,f__has_tag,f__is_project
거실 수납장,0,0.03636363636363637,11977524,815.0,3.0,2,0,2,0,0,121,101,13,10,0.19467945,0.038418923,0.0,0.0,0.0,0.0,0.049442347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,3.7841897,6.84375,0.0,0.0006773785,1.0,1.0
거실 수납장,0,0.03333333333333333,708,203.8,6.27,5,0,4,0,0,121,101,13,10,0.28916475,0.24406305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101,2.6390574,8.142645,0.0,2.0953e-40,0.0,0.0
거실 수납장,0,0.03636363636363637,15116249,822.0,6.0,2,0,2,0,0,121,101,13,10,0.19849467,0.093845926,0.0,0.0,0.08980689,0.0,0.08708412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,1.3862944,4.158883,0.0,0.10781543,1.0,1.0
거실 수납장,2,0.07272727272727274,10212303,404.5,0.87,3,1,2,1,0,121,101,13,10,0.0,0.0,0.0,0.0,0.13815212,0.0,0.23710379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,1.0986123,3.5553482,8.260493,0.0,2.9964116e-05,1.0,1.0
거실 수납장,0,0.03636363636363637,7691598,1037.0,1.0,2,0,2,0,0,121,101,13,10,0.0,0.0,0.0,0.0,0.3084064,0.0,0.10902252,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,3.8918202,0.0,3.02323e-07,1.0,0.0
거실 수납장,0,0.034782608695652174,10872216,286.0,2.94,3,0,3,0,0,121,101,13,10,0.28916475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,3.3322046,6.591674,0.0,0.00010200672,1.0,1.0
거실 수납장,0,0.03636363636363637,12367207,941.5,2.5,2,0,2,0,0,121,101,13,10,0.0,0.21737535,0.0,0.0,0.09756658,0.0,0.11115819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609438,0.6931472,5.9215784,0.0,0.0015247276,1.0,0.0
거실 수납장,0,0.03333333333333333,9611352,187.4,6.62,5,0,4,0,0,121,101,13,10,0.3066755,0.26871336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3066755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.812333e-06,1.0,0.0
거실 수납장,0,0.03636363636363637,10948910,879.33,1.89,3,0,2,0,0,121,101,13,10,0.0,0.2235553,0.0,0.0,0.0,0.0,0.08784992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609438,0.0,5.278115,0.0,0.00011668129,1.0,0.0
거실 수납장,0,0.03636363636363637,13997052,318.5,0.5,2,0,2,0,0,121,101,13,10,0.0,0.0,0.0,0.0,0.14416815,0.0,0.1408216,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,1.609438,3.1354942,6.381816,0.0,0.020796552,1.0,0.0
거실 수납장,0,0.03636363636363637,5912035,565.0,4.0,2,0,2,0,0,121,101,13,10,0.0,0.25347358,0.0,0.0,0.077482216,0.0,0.07088039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14208975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,3.4011974,6.8167357,0.0,1.18759464e-08,1.0,1.0
거실 수납장,0,0.03636363636363637,10998833,972.5,2.5,2,0,2,0,0,121,101,13,10,0.20659202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,4.6821313,0.0,0.0001268066,1.0,1.0
거실 수납장,0,0.03636363636363637,15303088,384.5,2.6,4,0,2,0,0,121,101,13,10,0.0,0.22527316,0.0,0.0,0.0,0.0,0.10960889,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.09955481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,1.609438,2.3025851,5.9375362,0.0,0.13876039,1.0,0.0
거실 수납장,0,0.03636363636363637,7507386,350.5,0.5,2,0,2,0,0,121,101,13,10,0.0,0.0,0.0,0.0,0.15187073,0.0,0.1522955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4965076,4.955827,7.6434827,0.0,2.2758968e-07,1.0,0.0
거실 수납장,0,0.03636363636363637,8643461,346.67,0.94,3,0,2,0,0,121,101,13,10,0.13179655,0.18354475,0.0,0.0,0.0,0.0,0.10963391,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,3.0910425,5.0106354,8.794976,0.0,1.6373821e-06,1.0,0.0
