search_keyword,grade,mctr,docid,avgRank,stdevRank,impressions,clicks,uimpressions,uclicks,scrapCnt,qc,cc,uqc,ucc,f__description.bm25,f__keyword_list.korean.bm25,f__nickname.bm25,f__company.bm25,f__prod_name.bm25,f__prod_brand_name.bm25,f__prod_categories.bm25,f__decode_style.bm25,f__decode_area.bm25,f__decode_residence.bm25,f__reinforcement.bm25,f__click_keywords.bm25,f__desc.prod.keyword,f__description.proximity,f__keyword_list.korean.proximity,f__nickname.proximity,f__company.proximity,f__prod_name.proximity,f__prod_brand_name.proximity,f__prod_categories.proximity,f__decode_style.proximity,f__decode_area.proximity,f__decode_residence.proximity,f__reinforcement.proximity,f__click_keywords.proximity,f__reply_count,f__follower_count,f__praise_count,f__scrap_count,f__view_count,f__user_card_count,f__created_at,f__has_tag,f__is_project
체크이불,0,0.02564102564102564,12414181,11.48,1.31,33,0,19,0,0,104,64,30,19,0.5502062,0.0,0.0,0.0,0.2745189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75818,0.0,0.0,0.0,0.19024041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,2.3978953,5.7300997,0.0,0.0018796618,1.0,0.0
체크이불,0,0.034782608695652174,6854015,80.0,0.0,3,0,3,0,0,104,64,30,19,0.20852287,0.19147366,0.0,0.0,0.13966878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,2.0794415,3.7612002,6.0544395,0.0,8.963349e-08,1.0,0.0
체크이불,0,0.03636363636363637,15745991,195.0,1.0,2,0,2,0,0,104,64,30,19,0.0,0.36056328,0.0,0.0,0.22742432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415,0.0,0.0,0.0,0.26990256,1.0,0.0
체크이불,0,0.03636363636363637,10171008,242.5,0.5,2,0,2,0,0,104,64,30,19,0.37998176,0.0,0.0,0.0,0.12044864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1780539,3.4339871,7.9820747,0.0,3.154436e-05,1.0,0.0
체크이불,0,0.02857142857142857,14201314,114.44,16.86,9,0,8,0,0,104,64,30,19,0.0,0.3519443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101,0.0,0.0,0.0,0.031830754,0.0,0.0
체크이불,0,0.03225806451612903,14226383,65.07,12.56,14,0,11,0,0,104,64,30,19,0.0,0.3534634,0.0,0.0,0.26140523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,5.164786,0.0,0.032883026,1.0,0.0
체크이불,0,0.03636363636363637,12276000,183.0,0.0,2,0,2,0,0,104,64,30,19,0.0,0.48273364,0.0,0.0,0.17136085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7406598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101,0.6931472,0.0,0.0,0.0014269007,1.0,0.0
체크이불,0,0.027777777777777776,4642742,23.12,1.24,25,0,16,0,0,104,64,30,19,0.4415552,0.47056368,0.0,0.0,0.26780164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3114496,0.8238705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.665692e-10,1.0,0.0
체크이불,0,0.03636363636363637,14518872,224.0,3.0,2,0,2,0,0,104,64,30,19,0.14800687,0.46593916,0.0,0.0,0.074266255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.049491126,1.0,0.0
체크이불,0,0.03333333333333333,14992745,142.8,3.12,5,0,4,0,0,104,64,30,19,0.3772661,0.20114915,0.0,0.0,0.24948731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13743404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.103298426,1.0,0.0
체크이불,0,0.06060606060606061,9495866,53.74,8.92,22,1,13,1,0,104,64,30,19,0.31791452,0.3099545,0.0,0.0,0.1552186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37798452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,3.4339871,0.0,8.773339e-06,1.0,0.0
