"search_keyword","qc","uqc"
"커트러리","73","21"
"오하우스시즌6","39","22"
"라탄바구니","50","24"
"수유의자","81","15"
"암막 커튼","66","13"
"유리 테이블","39","11"
"냉장고장","300","39"
"팬트리","197","30"
"접이식의자","45","30"
"가방수납","134","26"
"거실수납장","69","11"
"전골냄비","31","11"
"인테리어소품","61","17"
"탁자","26","22"
"4인식탁","31","13"
"레어로우","191","22"
"포토제니아굿즈","123","13"
"음악작업실","91","11"
"신생아방","97","17"
"인형","20","16"
"인테리어","46","15"
"요거트볼","23","11"
"책꽂이선반","28","12"
"usm","125","11"
"블루투스 스피커","120","47"
"오투가구","79","18"
"원룸 가구","54","19"
"그레이 인테리어","43","14"
"화장실매트","31","12"
"싱글 침대","39","14"
"베란다수납","126","12"
"pc방","80","11"
"장식장","177","44"
"행복주택","322","34"
"사무실","140","25"
"여름이불세트","61","35"
"스팀다리미","38","26"
"유리테이블","74","17"
"엽서","143","42"
"알루미늄 블라인드","74","17"
"행복주택 26형","147","15"
"홈바의자","36","11"
"단스탠드","62","17"
"장미맨숀","96","24"
"강아지매트","33","13"
"투룸인테리어","64","15"
"다리미","25","19"
"좌식소파","84","40"
"향수진열대","90","16"
"포스터액자","50","11"
"#데스크테리어","89","21"
"에어컨청소","19","17"
"낮은식탁","58","11"
"물병","26","12"
"가림막","63","40"
"엔틱","180","31"
"컵걸이","44","14"
"원목책상","126","17"
"책상 의자","51","18"
"아이맥","160","25"
"차렵이불","42","21"
"분유존","78","12"
"침실인테리어","185","38"
"접시","64","39"
"복층오피스텔","72","11"
"사이드 테이블","55","15"
"접이식 식탁","48","11"
"담요","49","28"
"접이식식탁","54","19"
"휴지케이스","61","26"
"전면책장","111","16"
"이케아 서랍장","36","13"
"화장대거울","42","16"
"가방걸이","33","17"
"침대 헤드","40","11"
"원목의자","84","14"
"침대커버","43","19"
"여름침구","67","14"
"패브릭","82","42"
"데코뷰","28","11"
"사운드바","88","11"
"캐리어","14","13"
"6평오피스텔","69","12"
"방석","82","48"
"냉장고정리","86","12"
"머그컵","30","20"
"달력","87","21"
"인덕션","37","16"
"문고리","113","24"
"벽난로","141","26"
"쿠션커버","80","26"
"화장품정리대","60","12"
"트레이","86","31"
"원목테이블","85","19"
"배게 커버","63","17"
"쇼파커버","134","44"
"피규어","86","13"
"시디즈","45","14"
"바디필로우","16","13"
"usm haller","98","12"
"피아노","187","29"
"뷰티샵","67","11"
"쇠데르함","490","16"
"매트리스 깔판","52","28"
"냄비받침","27","15"
"홈 카페","31","18"
"아일랜드수납장","35","11"
"스타일러","153","21"
"티비스탠드","121","21"
"선반수납장","13","11"
"식탁매트","93","25"
"여름 이불 세트","39","16"
"미니멀라이프","34","12"
"데코타일","105","24"
"초록","89","18"
"이불장","43","17"
"실링팬","128","25"
"작은방꾸미기","45","14"
"거실책장","71","12"
"복층원룸","55","12"
"화장품 정리함","28","12"
"어항","249","33"
"철제선반","61","25"
"인생네컷","148","38"
"작은방","127","29"
"잭슨카멜레온","75","15"
"그린","55","11"
"거실 테이블","63","22"
"접이식 의자","28","12"
"베개","114","39"
"돗자리","37","18"
"좌식 테이블","34","14"
"바구니","22","19"
"밥상","26","15"
"좌식의자","55","33"
"화장품 정리","95","16"
"우드인테리어","50","11"
"원룸 공간분리","82","12"
"옥상","179","16"
"레트로","127","17"
"투명의자","92","29"
"벽꾸미기","82","16"
"큐커","94","20"
"진열장","87","20"
"암막커튼 작은창","28","14"
"tv거치대","31","12"
"침구세트","93","23"
"시스템선반","80","14"
"캔들","49","22"
"소파커버","45","29"
"1인소파","161","45"
"드림캐쳐","21","12"
"그림","119","32"
"3평","80","15"
"신발정리대","18","13"
"네일샵","97","16"
"티비장","116","44"
"마켓비","21","16"
"장판","186","36"
"쇼파테이블","121","35"
"아이패드 거치대","85","16"
"까사미아","74","16"
"tv다이","71","16"
"렌지대","61","23"
"우드블라인드","93","19"
"컴퓨터의자","56","11"
"홈카페수납장","71","16"
"시스템장","72","15"
"이불커버","62","31"
"독서실책상","82","17"
"게임방","263","33"
"가리개","68","28"
"다용도실","143","15"
"홈짐","88","13"
"안방인테리어","96","20"
"오브제냉장고","66","11"
"체리몰딩","129","21"
"카페장","145","22"
"와인","54","14"
"욕조","128","28"
"도마","61","32"
"거실 식탁","104","13"
"원형 러그","22","12"
"매트","53","28"
"건조대","35","25"
"침대 협탁","36","13"
"캠핑의자","103","32"
"수전","43","15"
"좁은거실","164","16"
"집들이선물","32","15"
"데스크","245","22"
"싱크대","230","40"
"거실커튼","100","23"
"책선반","40","12"
"안마의자","151","17"
"두닷","36","12"
"모던미드센추리","109","12"
"안방커튼","122","17"
"스탠드 조명","65","20"
"빔","30","19"
"신혼집","47","20"
"호텔침대","74","14"
"리클라이너","46","17"
"리클라이너1인","71","12"
"화분선반","90","24"
"바닥","69","24"
"미니서랍장","24","11"
"모듈소파","171","24"
"전자레인지 선반","78","37"
"인센스홀더","115","24"
"침대헤드","113","24"
"2평","91","12"
"패밀리침대","358","46"
"손잡이","38","12"
"오늘의집","26","16"
"마우스패드","60","11"
"페브릭포스터","38","20"
"강아지집","98","18"
"현관타일","201","21"
"화장대정리","145","19"
"주방타일","94","22"
"벽난로콘솔","135","23"
"스트링선반","28","12"
