search_keyword,qc,cc,ctr,uqc,ucc,uctr
오피스텔 인테리어,27,14,51.851851851851855,12,4,33.333333333333336
긴 방,11,7,63.63636363636363,1,1,100.0
써큘레이터,110,21,19.09090909090909,77,16,20.77922077922078
리프트테이블,45,3,6.666666666666667,35,2,5.714285714285714
접시세트,15,0,0.0,14,0,0.0
티비거치대,112,11,9.821428571428571,87,7,8.045977011494253
소파베드,271,40,14.760147601476016,186,25,13.440860215053764
광목커튼,12,0,0.0,8,0,0.0
자취방,17,10,58.8235294117647,7,2,28.571428571428573
접이식테이블,324,25,7.716049382716049,245,14,5.714285714285714
시노글라스오일병,10,2,20.0,7,2,28.571428571428573
2인식탁,38,4,10.526315789473685,26,3,11.538461538461538
이케아 빌리,14,5,35.714285714285715,7,3,42.857142857142854
토분,42,9,21.428571428571427,28,2,7.142857142857143
모니터선반,11,2,18.181818181818183,8,2,25.0
빈티지그릇,14,10,71.42857142857143,5,3,60.0
수세미,70,7,10.0,53,4,7.547169811320755
강마루,14,11,78.57142857142857,3,2,66.66666666666667
벙커,20,3,15.0,10,3,30.0
룸앤홈,24,0,0.0,22,0,0.0
싱크대 수납,13,9,69.23076923076923,3,1,33.333333333333336
미니냄비,11,1,9.090909090909092,8,1,12.5
